Title,Author,Date,Excerpt
"Edo tribunal upholds Okpebholo’s victory, dismisses AA's petition",BusinessDay,"Apr 02, 2025",Governor Monday Okpebholo and the All Progressives Congress (APC) have secured their first victory in the legal battle over the...
Tinubu embarks on working visit to France,Anthony Ailemen,"Apr 02, 2025","President Bola Tinubu will depart for Paris, France, today, Wednesday, on a short working visit. Bayo Onanuga, Presidential Spokesman, said..."
"Austin Avuru, Musa-Kida join NNPC’s board as Tinubu reshuffles",Abubakar Ibrahim,"Apr 02, 2025","President Bola Tinubu has executed a comprehensive overhaul of the Nigerian National Petroleum Company Limited (NNPC) board, ushering in a..."
"Profile: Meet Bayo Ojulari, the veteran Engineer in charge of NNPC",Oladehinde Oladipo,"Apr 02, 2025","In the heart of Nigeria’s energy sector, a new chapter unfolds as Bayo Ojulari, a seasoned engineer with a career..."
"Tinubu sacks Mele Kyari, appoints Bayo Ojulari as NNPC CEO",Oladehinde Oladipo,"Apr 02, 2025","… tasks new board with boosting refining capacity to 500,000 bpd by 2030 President Bola Tinubu has removed Mele Kyari..."
Business confidence rises to 14-month high on easing inflation,Chinwe Michael,"Apr 02, 2025",Business confidence in Africa’s most populous nation rose to the highest level in 14 months in March as businesses reported...
Nigerians skip air travel as high costs ground flights,Ifeoma Okeke-Korieocha,"Apr 02, 2025","Nigeria’s domestic air travel declined in 2024, driven by aircraft shortages and soaring ticket prices that placed air travel out..."
Solar import ban risks backfiring in energy-starved Nigeria,Oladehinde Oladipo,"Apr 02, 2025","When Chidi Okonkwo, a businessman who relies on solar panels to keep his grocery shop running, first heard of the..."
Nigeria’s net reserves soars to 3-yr high as CBN’s policies pay off,Wasiu Alli,"Apr 01, 2025",Nigeria’s net foreign exchange reserves (NFER) swelled to its highest levels in at least three years as measures implemented by...
Mammoth crowd receives Natasha Akpoti in Kogi despite ban on rally,Taofeek Oyedokun,"Apr 01, 2025","Natasha Akpoti-Uduaghan, representing Kogi Central in the Senate, on Tuesday received a grand reception from her supporters and residents of..."
Nigerian govt to implement drill or drop policy on IOCs,Cynthia Egboboh,"Apr 01, 2025",…urge companies to develop assets The federal government has called on International Oil Companies (IOCs) operating in Nigeria to ensure...
Nigeria's new investment law empowers SEC to obtain user data from telcos,Iheanyi Nwachukwu,"Apr 01, 2025",Nigeria’s newly signed Investment and Securities Act (ISA 2025) has empowered the Securities and Exchange Commission (SEC) to obtain user...
Gold hits all-time high as Trump’s actions spark uncertainty,David Olujinmi,"Apr 01, 2025","Gold has surged to a record high, with spot prices trading at approximately $3,132 per ounce as of 1:00 PM..."
Edo governorship election tribunal set to deliver judgment tomorrow,BusinessDay,"Apr 01, 2025",The Edo State Governorship Elections Petition Tribunal will deliver its judgment on the petition filed by the Peoples Democratic Party...
Nigeria recognises cryptocurrencies as securities in landmark legal shift,Iheanyi Nwachukwu,"Apr 01, 2025","Nigeria’s new capital market laws now officially classify cryptocurrencies and other virtual assets as securities for the first time, in..."
Nigeria’s onion industry: Profit in every peel,Faith Donatus,"Apr 01, 2025","Rising global demand for onions is creating a lucrative opportunity for investors to tap into processing and export, unlocking new..."
Subscribers hit as telco towers turn targets for vandals,Temitayo Jaiyeola,"Apr 01, 2025","Persistent attacks on telecommunication infrastructure, including fibre cuts, vandalism, and theft, are disrupting network stability across the country, leaving subscribers..."
N200bn Nigerian exports face new Sahel tariff,Oluwatobi Ojabello,"Apr 01, 2025","Mali, Burkina Faso, and Niger’s military rulers have imposed a 0.5 percent tariff on ECOWAS imports, threatening N234 billion in..."
Big banks lead as Nigerian lenders boost shareholder returns,Oluwole Crowther,"Mar 31, 2025","Nigeria’s biggest banks are setting the pace in delivering value to investors, outpacing smaller rivals in shareholder returns. BusinessDay analysed..."
"CBN shakes up oil and gas industry with new terminal assignments, boosts transparency",Hope Moses-Ashike,"Mar 31, 2025",The Central Bank of Nigeria (CBN) has announced a comprehensive review of the allocation of terminals to Pre-Shipment Inspection Agents...
Okpebholo visits Kano over Uromi killing,Adeola Ajakaiye,"Mar 31, 2025","Monday Okpebholo, the governor of Edo, in Kano on Monday has condemned the brutal killing of 16 hunters in Udune,..."
Life annuities surge as retirees seek stability,Modestus Anaesoronye,"Mar 31, 2025",The demand for retiree life annuities is rising as more Nigerians seek financial security in old age amid economic uncertainty....
"Mali, Burkina Faso, Niger impose 0.5% import levy on ECOWAS nations to fund new alliance",Ojochenemi Onje,"Mar 31, 2025","The military-led governments of Mali, Burkina Faso, and Niger have imposed 0.5% import levy on goods entering their territories. This..."
EXPLAINER: Can Trump serve a third term as US president?,BusinessDay,"Mar 31, 2025",Donald Trump has said he is “not joking” about wanting to serve a third term as US president. The US...
"Rivers Chief of Staff, Ehie alleges N5bn bribe offer to impeach Fubara",Imoh Bright,"Mar 31, 2025","Edison Ehie, the chief of staff to suspended Rivers State governor Siminalayi Fubara, says he was offered a N5 billion..."
"Two dead, 20 injured in Gombe Eid-el-Fitr prayer ground stampede",Imoh Bright,"Mar 31, 2025","A chaotic stampede at the main Eid-el-Fitr prayer ground in Gombe State turned a day of celebration into tragedy, leaving..."
Global stocks extend plunge with deepening US tariff fears,BusinessDay,"Mar 31, 2025","Global stock markets tumbled Monday, with the S&P 500 futures heading for a 1% loss on the final day of..."
"Okpebholo suspends security chief, bans unregistered vigilantes after 16 hunters killed",Oluwatosin Ogunjuyigbe,"Mar 31, 2025","Edo State Governor Monday Okpebholo has taken action following a tragic incident in the Uromi area, suspending the commander of..."
Interbank rate hits 5 yr-high as CBN tightens liquidity,Hope Moses-Ashike,"Mar 31, 2025","Nigeria’s interbank lending rate surged to a five-year high of 28.58 percent in January 2025, reflecting the Central Bank of..."
Ranked: Meet top Nigerian banks driving shareholder value,Oluwole Crowther,"Mar 31, 2025",BusinessDay analysed the financial statements of the eight banks to have published their results for 2024 in order to uncover...
Lawmakers split on LG autonomy as conflicting bills pass second reading,Godsgift Onyedinefu,"Mar 31, 2025","…analysts urge true federalism Nigeria’s House of Representatives is now at an impasse over the future of local government autonomy,..."
I once threatened to sack Wike - Tinubu,Anthony Ailemen,"Mar 30, 2025",…Urge Nigerians to have compassion on the vulnerable President Bola Tinubu on Sunday recalled how he threatened to sack Nyesom...
Nigeria secures $500 million World Bank loan to boost economic resilience,BusinessDay,"Mar 30, 2025",The World Bank has approved a $500 million loan to Nigeria to support the country’s Community Action for Resilience and Economic Stimulus Program....
"Petrol prices surge to N970/Litre at the pump amid industry war, rising import costs ",Abubakar Ibrahim,"Mar 30, 2025","The price of Premium Motor Spirit (PMS), popularly known as petrol at the pump, has reportedly risen to between N930 and N970 per litre...."
"NEF gives Edo, FG 14-day ultimatum to prosecute northern hunters’ killers",Tolulope Popoola,"Mar 30, 2025",NEF has issued a 14-day ultimatum to the Edo State and FG to prosecute those responsible for the killing of 16 northern hunters in Edo State....
Naira redesign crisis nearly made me quit presidential race - Tinubu,Tolulope Popoola,"Mar 30, 2025",President Tinubu says the cash scarcity resulting from the naira redesign policy nearly compelled him to abandon his 2023 presidential bid....
Rising data costs may ambush Nigeria’s content creation boom,Taofeek Oyedokun,"Mar 30, 2025",…Viewers reduce appetite for video content …Creators lament traffic slump …Nigerians now economical with data The content creation industry in...
"2023 election: I almost gave up, but for Masari - Tinubu",Anthony Ailemen,"Mar 30, 2025",…Says “Nigeria reached a point of no return on fuel subsidy”   President Bola Tinubu on Saturday night recalled how...
FG wages war against vandals of bridges’ infrastructure across Lagos,Seyi John Salau,"Mar 30, 2025","…Replaces iron railings with concrete guardrails The Federal Government continues to contend with the unwholesome activities of hoodlums, urchins and..."
Nigerians express frustration at judiciary’s role in nation’s political morass,BusinessDay,"Mar 30, 2025","…Say, ‘no reasonable investor will dare to come’ …Efforts to build sustainable democracy threatened …As politicians taint judges’ conscience, integrity..."
How one-building school facility limits pupils’ total education,Charles Ogwo,"Mar 30, 2025","…Proprietors disregard psychomotor domain …As 70% of private schools lack playground facilities in Lagos, others All work and no play,..."
"NESG hails NNPC IPO plans, opposes suspension of naira-for-crude policy",Onyinye Nwachukwu,"Mar 29, 2025",The National Economic Summit Group (NESG) has expressed strong support for the Nigerian National Petroleum Corporation’s (NNPC) planned Initial Public...
"El-Rufai not yet our member, says Kaduna SDP Chairman",Adeola Ajakaiye,"Mar 29, 2025","The Social Democratic Party (SDP), Kaduna State chapter, has debunked the claim that former governor, Nasir El-Rufai is a member..."
"Fubara denies allegations of political crisis, blasts ex-head of service",Tolulope Popoola,"Mar 29, 2025","Siminalayi Fubara, has dismissed allegations made against him by George Nwaeke, the former head of service (HoS) of the state...."
Edo killings: Survivors recount horror that took 16 lives,Obidike Okafor,"Mar 29, 2025",The dusty roads of Torankawa village in Bunkure Local Government Area of Kano State are shrouded in mourning. Families huddle...
Tinubu signs new investment law to boost Nigeria’s capital market,Tolulope Popoola,"Mar 29, 2025","President Bola Ahmed Tinubu has signed the Investment and Securities Act (ISA) 2024 into law, marking a significant step in..."
Tinubu orders manhunt for killers of northern travellers in Edo,Taofeek Oyedokun,"Mar 29, 2025",President Bola Tinubu has ordered security agencies to launch a manhunt for the killers of a group of northern hunters...
Inflation-infused input cost surge pressures manufacturers,Folake Balogun,"Mar 29, 2025",Manufacturers operating in the consumer goods sector are battling with rising input costs which are inflation-infused. Eight firms analysed by...
Naira ends week with N30 gain in black market as liquidity improves,Hope Moses-Ashike,"Mar 28, 2025","The naira gained N30 in the black market at the end of the week, while it closed flat at the..."
House bill on 60-year limit for politicians faces public backlash,Godsgift Onyedinefu,"Mar 28, 2025",Political analysts and governance experts have criticised a proposed bill in the House of Representatives seeking to impose an age...
Nigeria stock market decreases by 1.99% in March,Iheanyi Nwachukwu,"Mar 28, 2025",Nigeria’s equities market decreased by 1.99 percent in the month of March as Friday March 28 becomes the last trading...
"Nigeria's resource control bill sparks debate on political stability, regional disparities",Cynthia Egboboh,"Mar 28, 2025",A bill that seeks to grant state governments control over their own oil and mineral resources has moved one step...
Credit demand seen rising on likely Nigeria rate cut,Wasiu Alli,"Mar 28, 2025",Demand for credit by businesses and consumers in Africa’s most populous nation is expected to rise as a sharp decline...
"NNPC revives long-delayed IPO, shops for advisers",Oladehinde Oladipo,"Mar 28, 2025","The Nigerian National Petroleum Company Limited (NNPC Ltd.) is reviving plans for an Initial Public Offering (IPO), signalling a renewed..."
Reps’ U-turn on immunity bill sparks public outrage,Godsgift Onyedinefu,"Mar 28, 2025","…political analysts, CSOs knock lawmakers, say lack courage The House of Representatives’ decision to rescind the bill seeking to strip..."
Biggest snubs on the 2025 AMVCA nomination list,Anthony Udugba,"Mar 28, 2025","The 2025 Africa Magic Viewers’ Choice Awards (AMVCA) nominations have ignited debates across Nollywood and beyond, as several critically acclaimed..."
How to move Nigeria from food scarcity to security,BusinessDay,"Mar 28, 2025","Experts say large-scale technology adoption, affordable credit access and a systems approach can significantly impact Nigeria’s agriculture as the country..."
"Reps set 60-year age limit for presidential, governorship candidates",Chioma Onuh,"Mar 27, 2025",The House of Representatives on Thursday passed for second reading a constitutional amendment bill seeking to bar individuals above the...
"Bill for same-day presidential, governorship elections passes second reading in Senate",BusinessDay,"Mar 27, 2025","The Senate has passed for second reading a bill seeking to amend the Electoral Act to allow presidential, governorship, National..."
"Senate rejects renaming INEC headquarters after Nwosu, 1993 poll umpire",BusinessDay,"Mar 27, 2025","For the second time, the Senate has rejected a motion seeking to rename the Independent National Electoral Commission Headquarters after..."
Liquidity surge drives T-Bills yields downward,Eniola Olatunji,"Mar 27, 2025",Improved liquidity on the Nigerian one-year Treasury bills (T-Bills) eased pressure on government short-term borrowing costs as yields declined. Subscription...
"Reps rescind bill to strip VP, governors of immunity",Godsgift Onyedinefu,"Mar 27, 2025",The House of Representatives has rescinded its earlier passage of a bill seeking to amend the 1999 Constitution to remove...
Lagos unveils 3-pillar proposal to address Nigeria’s food insecurity,Feyishola Jaiyesimi,"Mar 27, 2025","Lagos State is proposing a unified national approach to tackling food scarcity, promoting food security and addressing Nigeria’s deepening food..."
Reps pass bill to give foreign investors Nigerian citizenship,Godsgift Onyedinefu,"Mar 27, 2025",The House of Representatives has passed a bill to give foreign investors Nigerian Citizenship for second reading. The proposed legislation...
Reps' constitutional amendment bills erode federalism,Taofeek Oyedokun,"Mar 27, 2025",A wave of constitutional amendments making its way through Nigeria’s House of Representatives could erode what is left of Nigeria’s...
"INEC clears hurdle in Natasha's recall, notifies Senate",BusinessDay,"Mar 26, 2025",The Independent National Electoral Commission (INEC) has confirmed that it has received the necessary contact details of representatives of the...
DMO crosses N1trn Sukuk bond issuance as demand swells,Hope Moses-Ashike,"Mar 26, 2025","…Plans N300bn for series 7 Nigeria’s Debt Management Office (DMO) has hit a major milestone, surpassing N1 trillion in sovereign..."
Nigeria begins two-year tax exemption on pharmaceutical raw materials to propel local production ,Bethel Olujobi,"Mar 26, 2025",The Nigerian government has announced the commencement of a two-year exemption from import duty and Value Added Tax (VAT) on...
